Unnamed: 0,阶段事件,原子事件,行为（可感知 / 可复用）
Career, 求职,搜索职位信息,搜索关键词、浏览招聘页面
,,查询企业信息,浏览企业官网 / 企业查询 App
,,准备求职材料,文档编辑、文件整理
,,投递简历,表单填写、文件上传
,,参加面试,日历事件、视频会议、定位变化
,,薪资谈判与入职准备,通话、邮件、文档查看
,差旅,出行（参考可感知项表）,
,,异地入驻,异地长时间停留（夜间）
,商务活动,聚餐,餐饮 POI + 通话 / 聊天
,,客户拜访,异地停留 + 通话 + 日历
,,签订合同 ,文档编辑、扫描、邮件
,会议研讨,会议,日历事件 + 会议 App + 办公地点
,个人事务,通勤,固定时间段位置迁移
,,工位办公,办公地点停留 + 工作类 App
,,巡检 ,多点位短暂停留
,,请假,短信
,,备忘录记录,备忘录编辑
,培训与发展,学术 / 技能积累,学习类 App、视频播放
,,知识复盘 / 速记,笔记编辑、截图
,职场社交,同事联系,通话、IM 消息
,摸鱼 ,娱乐补偿,娱乐 / 视频 / 游戏 App 使用时长
,,,
Education,录取与注册,接受录取,短信通知，邮件通知，图库里开学典礼
,个人事务,通勤,固定时间段位置迁移
,,上课,上课地点停留 + 工作类 App
,,巡检 ,多点位短暂停留
,,请假,短信
,,备忘录记录,备忘录编辑
,考试,备考,
,,参加考试,
,,成绩结果,
,教育活动,会议,日历事件 + 会议 App + 办公地点
,,校园活动,参与社团活动、完成任务、记录活动经历（短信、图库）
,,竞赛,
,教育迁移,转学,
,,换专业,
,,休学,
,,出国留学,
,学习成果,获奖/认证,
,,论文/作品提交,
,远程/在线教育,课程学习,
,,线上互动,
,,,
Relationships,日常交流互动,日常交流互动,
,庆祝纪念,庆祝纪念,和特定日期结合起来
,事件组织,约定见面,
,,聚会安排,具体的安排可以参考可感知项里的相关活动
,,出行,
,社交仪式,参加活动,和特定日期结合起来
,,礼节性互动,送礼、送贺卡、节日问候
,,,
Family&Living Situation,探望亲人,探望亲人,
,家庭聚餐,家庭聚餐,
,亲子活动,亲子活动,
,家庭财务,账单收取,
,,执行支付,
,,记录开销,
,,调整预算,
,宠物,日常照料，宠物相关事件,图库/规则类，常识性，非具体的事件
,,,
Health,日常运动,运动（（参考可感知项表）,考虑从运动健康app里获得消息，可在此不做记录
,饮食管理,饮食管理,
,就医治疗,就医治疗,
,药物管理,药物管理,
,情绪监测,情绪监测,
,心理咨询,心理咨询,
,放松减压,放松减压,
,睡眠管理,睡眠管理,
,,,
Personal Life,"户外活动
（非日常的高开销户外活动，可能需要行程规划且多日，与日常强健体魄的运动区分）",露营,
,,悬崖速降,
,,探洞,
,,滑翔伞,
,休闲活动,划船,
,,射击射箭,
,,溜冰,
,,马术,
,,钓鱼,
,,按摩足疗,
,,洗浴汗蒸,
,,密室逃脱,
,,游戏厅,
,,网吧,
,,采摘农家乐,
,,撸宠,
,,K歌,
,,酒吧,
,,轰趴,
,,剧本杀,
,,桌游,
,,茶馆棋牌,
,,DIY手工,
,演出票务,看话剧,
,,看音乐剧,
,,看展览,
,,看脱口秀,
,,看相声,
,,看演唱会,
,,看音乐会,
,,看音乐节,
,,看戏曲,
,,看电竞赛事,
,,看舞蹈,
,,看体育赛事,
,,看魔术,
,,看电影,
,,看亲子演出,
,休闲购物,逛街,
,电子游戏,电子游戏,
,阅读,阅读,
,做SPA,做SPA,短信订单
,旅游出行,出行（参考可感知项表）,
,便捷生活,家政,
,,政务和公共服务,
,,生活缴费,
,,跑腿代办,
,,3C数码维修,
,,行李寄存,
,,,
Finance,银行相关信息,银行相关信息,
,理财相关信息,理财相关信息,
,房产交易,房产交易,
,房屋维护,房屋维护,
,租房,租房,
,车辆购买,车辆购买,
,车辆使用,车辆使用,
,车辆维护,车辆维护,
,保险购买,保险购买,
