id,generation_source,title,description,startTime,endTime,generation_source_continue
Calendar-0,159-5,专注工作规划时段,2025-01-01 09:20 开始，在书房进行深度工作，规划CFA三级备考甘特图和起草客户服务优化方案，来源：个人日程安排,2025-01-01 09:20:00,2025-01-01 12:00:00,159-a
Calendar-1,161-1,美年大健康体检预约,美年大健康全面体检，2025-01-09 08:00 开始，需空腹，预约码 MN202501091234，凭身份证前往，来源：美年大健康APP,2025-01-09 08:00:00,2025-01-09 08:00:00,161-a
Calendar-2,160-2-1,部门年初工作会议,部门年初工作会议，2025-01-03 09:30 开始，地点：华泰证券会议室，需准备个人工作汇报和上年度成果展示，来源：公司内部日程,2025-01-03 09:30:00,2025-01-03 12:00:00,160-b
Calendar-3,175-1,限定咖啡豆品鉴会,计划参加周末的限定咖啡豆品鉴会，对埃塞俄比亚、哥伦比亚和云南的豆子很感兴趣。已调整周末安排，预留出时间参加。,2025-01-04 14:00:00,2025-01-04 17:00:00,175-a
Calendar-4,1-1,CFA备考学习与规划,CFA备考学习与规划，2025-01-03 20:00 开始，重点学习道德与专业准则科目，并制定详细备考时间表，来源：个人学习计划,2025-01-03 20:00:00,2025-01-03 22:20:00,1-a
Calendar-5,163-1-1,潮宗街主题街拍,潮宗街历史文化街区主题街拍，2025-01-05 09:15 开始，专注于老街清晨生活气息与建筑光影，来源：个人摄影计划,2025-01-05 09:15:00,2025-01-05 09:15:00,163-a
Calendar-6,1-1,CFA 三级备考学习,CFA 三级备考学习，2025-01-06 21:00 开始，专注阅读资产管理中的职业操守章节并完成练习题，来源：个人备考计划,2025-01-06 21:00:00,2025-01-06 22:30:00,1-a
Calendar-7,,与母亲视频通话讨论保险,与母亲李秀英视频通话讨论保险方案，2025-01-08 19:30 开始，预计时长30分钟，需解释筛选产品的保障范围、理赔流程和注意事项，并询问父亲体检报告细节，来源：今日事件安排,2025-01-08 19:30:00,2025-01-08 20:00:00,
Calendar-8,161-2-1,年度健康体检,美年大健康体检中心(鸥波港湾)，2025-01-09 08:05 开始，需空腹，携带身份证和预约单，来源：体检中心预约确认,2025-01-09 08:05:00,2025-01-09 08:05:00,161-b
Calendar-9,172-1,与父母视频讨论健康保障,与父母微信视频通话，讨论父亲体检报告（血压、低密度脂蛋白临界指标）及补充医疗保险产品方案，2025-01-10 21:00 开始，来源：个人安排,2025-01-10 21:00:00,2025-01-10 21:40:00,172-a
Calendar-10,162-2-2,春季露营,"地点：长沙周边水库露营地
备注：需准备装备和食材清单",2025-03-15 09:00:00,2025-03-16 18:00:00,162-b
Calendar-11,3-2,深度年度财务复盘与报告生成,2025-01-11 10:05 开始，在家中进行2024年全年财务深度复盘，核对流水、账单，计算收支储蓄率，分析投资组合并生成图表，来源：个人日程安排,2025-01-11 10:05:00,2025-01-11 12:35:00,3-j
Calendar-12,165-1-1,制定新年个人投资策略,制定2025年上半年个人投资策略，2025-01-12 10:00开始，基于年度财务复盘数据，明确稳健为先、捕捉成长的核心思路，设定新的资产配置比例，来源：个人财务规划,2025-01-12 10:00:00,2025-01-12 12:00:00,165-a
Calendar-13,165-1-2,完成投资持仓调整准备,根据上午制定的策略，在证券APP中列出拟调整的持仓清单，包括卖出个股和买入基金/股票的具体代码、价格区间和数量，并设置周一开盘提醒，来源：个人投资执行计划,2025-01-12 14:40:00,2025-01-12 15:20:00,165-a
Calendar-14,164-1-2,客户视频会议,与核心客户黄思琪进行视频会议，2025-01-13 14:00 开始，会议链接已发送至邮箱，需准备ESG整合投资方案，来源：华泰证券内部日程,2025-01-13 14:00:00,2025-01-13 15:30:00,164-a
Calendar-15,165-2,执行投资持仓调整,2025-01-14 09:30 开始执行预设的卖出和买入指令，操作交易系统，记录交易日志，来源：当日工作安排,2025-01-14 09:30:00,2025-01-14 09:30:00,165-b
Calendar-16,164-2,向钱总汇报客户进展,2025-01-14 10:20 向投资总监钱永强汇报黄思琪客户案例进展及股权激励方案思路，来源：当日工作安排,2025-01-14 10:20:00,2025-01-14 10:50:00,164-b
Calendar-17,16-4,整理学习环境与工具,清理书桌、整理新教材和文具、在电脑上建立各科目学习文件夹。,2025-01-15 09:00:00,2025-01-15 11:00:00,16-d
Calendar-18,171-4,研究股权激励税务影响,聚焦于股权激励对员工个人（个人所得税）和公司（企业所得税抵扣）的税务影响，分析不同持有期、行权时机下的税负差异，并查阅相关税法条文和税务筹划案例。,2025-01-16 00:00:00,2025-01-16 23:59:59,171-d
Calendar-19,162-4,松雅湖生态营地露营预订,松雅湖生态营地临湖帐篷位与早餐套餐预订，2025-03-15 至 2025-03-16，预定码 CAMP20250115，凭身份证办理入住，来源：营地官网,2025-03-15 14:00:00,2025-03-16 12:00:00,162-d
Calendar-20,16-5,制定CFA三级备考月度计划,CFA三级备考月度计划制定，2025-01-16 20:00 开始，预计时长1小时15分钟，地点：家中书房，来源：个人学习规划,2025-01-16 20:00:00,2025-01-16 21:15:00,16-e
Calendar-21,171-5,与客户黄思琪电话会议,与客户黄思琪进行视频电话会议，时间 2025-01-17 15:45，讨论股权激励分析框架与优化后的投资方案，来源：今日事件安排,2025-01-17 15:45:00,2025-01-17 16:30:00,171-e
Calendar-22,,加班处理客户林志豪紧急需求,加班分析客户林志豪的境外资产配置紧急调整需求，时间 2025-01-17 18:00，需与同事孙晓雅同步分析，来源：今日事件安排,2025-01-17 18:00:00,2025-01-17 19:20:00,
Calendar-23,174-1,跟进徐佳宁理财咨询,上午收到徐佳宁微信，咨询个人储蓄及基金定投建议。需后续安排时间详细沟通。,2025-01-19 09:00:00,2025-01-19 09:30:00,174-a
Calendar-24,173-1,与妈妈视频通话,准备与妈妈视频通话。整理客厅环境，检查网络和设备，准备好分享的工作和生活近况要点。,2025-01-19 20:00:00,2025-01-19 21:00:00,173-a
Calendar-25,171-7,下午工作与个人事务,下午工作与个人事务，2025-01-20 14:20 开始，处理客户沟通、预约会议，并规划春节返乡行程，来源：当日事件安排,2025-01-20 14:20:00,2025-01-20 17:30:00,171-g
Calendar-26,,上午工作启动与客户方案终审,上午工作启动，包含处理紧急邮件、审阅徐佳宁理财方案PPT、准备黄思琪会议材料，并与同事郑文博沟通，来源：当日工作安排,2025-01-22 09:30:00,2025-01-22 10:30:00,
Calendar-27,174-3,与客户徐佳宁语音沟通方案,在小会议室通过微信语音与客户徐佳宁沟通理财方案，讲解PPT并解答风险参数与备用方案疑问，来源：当日工作安排,2025-01-22 13:00:00,2025-01-22 13:30:00,174-c
Calendar-28,,林志豪紧急项目启动会议,与客户林志豪进行视频会议，确认房地产项目资金需求，提出资产盘活初步思路，会后着手搭建财务模型，来源：当日工作安排,2025-01-22 13:30:00,2025-01-22 15:00:00,
Calendar-29,,与客户黄思琪视频会议,股权激励方案深度视频会议，2025-01-23 10:00:00 开始，会议号 123456，来源：Teams 日程邀请,2025-01-23 10:00:00,2025-01-23 11:30:00,
Calendar-30,174-4,与徐佳宁跟进方案,询问方案疑问，约定执行时联系调整细节，巩固跨领域友谊,2025-01-24 10:00:00,2025-01-24 10:30:00,174-d
Calendar-31,178-1-2,收集市场研究报告,为黄思琪投资组合筛选并下载宏观经济、行业及个股深度研报,2025-01-24 09:00:00,2025-01-24 11:00:00,178-a
Calendar-32,168-3,与罗振宇线上交流,与罗振宇讨论论坛内容，约定下次交流时间。,2025-01-24 15:00:00,2025-01-24 16:00:00,168-c
Calendar-33,,回家后整理与放松,时间 2025-01-26 17:45:00 开始，进行返乡前最终整理与放松，包括整理行李、核对高铁信息、与家人联络等，来源：当日计划,2025-01-26 17:45:00,2025-01-26 20:30:00,
Calendar-34,,早餐与确认返乡行程,早餐与确认返乡行程，2025-01-27 08:00 开始，2025-01-27 08:45 结束，地点：家中，来源：当日事件安排,2025-01-27 08:00:00,2025-01-27 08:45:00,
Calendar-35,1-8,上午工作处理与客户方案审核,上午工作处理与客户方案审核，2025-01-27 09:30 开始，2025-01-27 10:45 结束，地点：华泰证券办公室，来源：当日事件安排,2025-01-27 09:30:00,2025-01-27 10:45:00,1-j
Calendar-36,169-4,G1002 次列车（长沙南 - 武汉）,G1002 次列车（长沙南站→武汉站），2025-01-28 09:50 发车，座位 2车12F，凭身份证检票，来源：12306,2025-01-28 09:50:00,2025-01-28 09:50:00,169-d
Calendar-37,,行前准备与睡前活动,2025-02-01 20:00 开始，进行最终行前检查，核对身份证、行李等物品，阅读《周期》并复盘，设定明日闹钟，来源：当日事件,2025-02-01 20:00:00,2025-02-01 22:00:00,
Calendar-38,170-6-4,返程高铁 G1005 次（武汉 - 长沙）,G1005 次列车（武汉站→长沙南站），2025-02-03 08:00 发车，座位号 08 车 12F，凭身份证检票，来源：12306,2025-02-03 08:00:00,2025-02-03 08:00:00,170-f
Calendar-39,178-2-2,深度工作准备：整理团队资料与梳理会议思路,整理节后宏观经济数据、行业政策文件及上市公司业绩预告，更新至团队共享盘；梳理明日团队复盘会思路，撰写引导性问题清单，包括客户止损策略回顾、上季度业绩归因和节后布局方向，来源：个人工作计划,2025-02-04 08:45:00,2025-02-04 11:45:00,178-b
Calendar-40,170-6-5,复工首日日程安排,2025-02-04 09:00 公司晨会，2025-02-04 10:30 客户林总视频会议，2025-02-04 14:00 撰写资产建议草稿，2025-02-04 16:30 团队复盘会，来源：个人规划,2025-02-04 09:00:00,2025-02-04 18:00:00,170-f
Calendar-41,178-2-2,处理客户紧急咨询并线上购买生活补给,处理客户黄思琪关于节后市场波动的关切邮件，提供宏观数据截图和初步分析，承诺明日收盘后提交详细报告；同时在线上平台订购未来三天的蔬菜、蛋白质食材和咖啡胶囊，来源：工作邮件与个人生活安排,2025-02-04 13:00:00,2025-02-04 14:00:00,178-b
Calendar-42,182-1,与父亲视频讨论家庭财务,与父亲冯建国视频通话讨论家庭财务规划，2025-02-14 20:00 开始，请父亲提前整理相关资料，来源：微信约定,2025-02-14 20:00:00,2025-02-14 21:30:00,182-a
Calendar-43,178-3-2,团队季度投资复盘会,团队季度投资复盘会，2025-02-06 09:30 开始，地点：公司大会议室，主持：冯浩然，参会：郑文博、孙晓雅（远程）等，来源：公司会议安排,2025-02-06 09:30:00,2025-02-06 12:00:00,178-c
Calendar-44,,紧急处理客户林志豪项目,紧急处理客户林志豪的投资方案数据更新与风险收益比调整，2025-02-05 20:00 开始，来源：客户紧急邮件,2025-02-05 20:00:00,2025-02-05 21:30:00,
