id,generation_source,title,content,datetime,source,generation_source_continue
Push-0,159-3,雪球：隔夜美股收盘速递,【雪球】隔夜美股三大指数涨跌不一，道指微跌0.1%，纳指涨0.3%。美联储会议纪要显示通胀担忧持续。点击查看详情>>,2025-01-01 06:35:00,雪球,159-a
Push-1,159-3,同花顺：亚太早盘动态提醒,【同花顺】日经225指数早盘高开0.5%，韩国KOSPI指数平开。国内政策面关注央行流动性操作。,2025-01-01 06:40:00,同花顺,159-a
Push-2,159-1,Keep：跑步数据同步完成,【Keep】您于07:00-07:50在湘江风光带的跑步记录已同步，距离5.2公里，配速9‘30”，消耗热量约380千卡。,2025-01-01 07:52:00,Keep,159-a
Push-3,159-1,小米运动：拉伸目标达成,【小米运动】恭喜完成今日10分钟拉伸训练！有效缓解肌肉紧张，保持运动表现。,2025-01-01 08:05:00,小米运动,159-a
Push-4,159-3,微信：董浩然发来新年祝福,【微信】董浩然：浩然，新年快乐！祝2025投资顺利，早日晋升总监！,2025-01-01 08:25:00,微信,159-a
Push-5,,墨迹天气：长沙今日晴朗,【墨迹天气】长沙市岳麓区，今天全天晴朗，气温5-12℃，东北风2级，空气质量良。适宜户外活动。,2025-01-01 09:02:00,墨迹天气,
Push-6,159-5,Notion：CFA备考计划创建成功,【Notion】您的CFA三级六个月备考甘特图已保存。今日任务：固定收益分析章节学习（2小时）。,2025-01-01 09:25:00,Notion,159-a
Push-7,159-5,高德地图：前往未里餐厅路线规划,【高德地图】为您规划从家到未里创意融合菜餐厅（西湖公园路）的驾车路线，全程约8公里，预计20分钟到达。,2025-01-01 11:55:00,高德地图,159-a
Push-8,,Lightroom：照片备份至iCloud完成,【Lightroom】您从SD卡导入的235张照片已成功备份至iCloud。已标记30张精选照片待处理。,2025-01-01 17:20:00,Lightroom,
Push-9,159-3,华尔街见闻：午后财经快讯,【华尔街见闻】央行开展500亿元逆回购操作。A股三大指数午后震荡走高，消费板块领涨。,2025-01-01 17:25:00,华尔街见闻,159-a
Push-10,,支付宝：步步高超市支付成功,【支付宝】您已成功支付步步高超市（金星路店）订单#2025010117402356，金额287.50元。,2025-01-01 17:43:00,支付宝,
Push-11,159-4,微信：与妈妈视频通话结束,【微信】您与妈妈李秀英的视频通话已结束，时长15分32秒。,2025-01-01 19:26:00,微信,159-a
